Timestamp,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage,Labels
0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,0
0.04399871826,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,0
0.09999847412,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,0
0.1439971924,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,0
0.2490005493,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,0
0.2929992676,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,0
0.3509979248,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,0
0.3949966431,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,0
0.4960021973,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,0
0.5419998169,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,0
0.5989990234,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
0.6429977417,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
0.7429962158,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
0.797996521,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
0.8509979248,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
0.8980026245,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,0
0.9960021973,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,0
1.054000854,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26,0
1.097999573,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,0
1.199996948,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,0
1.249000549,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26,0
1.294998169,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
1.350997925,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
1.395996094,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
1.494995117,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
1.543998718,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24,0
1.581001282,7,0,0,-547,0,0,86,17800,50,442,16400,50,0,9950,26,0,5440,24,0
