ds,method,split_number,roc,max_time,scoring_str
10_loan_repay,LogReg,0,0.637673040230585,0,roc
10_loan_repay,LogReg,1,0.6894409937888198,0,roc
10_loan_repay,LogReg,2,0.6647992530345471,0,roc
10_loan_repay,LogReg,3,0.6796817277635693,0,roc
10_loan_repay,LogReg,4,0.6786993058092802,0,roc
10_loan_repay,LogReg,5,0.6845641920268786,0,roc
10_loan_repay,LogReg,6,0.6386169800348904,0,roc
10_loan_repay,LogReg,7,0.6756558118498416,0,roc
10_loan_repay,LogReg,8,0.6870467921828765,0,roc
10_loan_repay,LogReg,9,0.6704061392384483,0,roc
10_loan_repay,KNN,0,0.5576949620427882,0,roc
10_loan_repay,KNN,1,0.622173507083993,0,roc
10_loan_repay,KNN,2,0.5620509073194495,0,roc
10_loan_repay,KNN,3,0.5799415418341249,0,roc
10_loan_repay,KNN,4,0.5981772419112572,0,roc
10_loan_repay,KNN,5,0.6213130774697939,0,roc
10_loan_repay,KNN,6,0.587690605414486,0,roc
10_loan_repay,KNN,7,0.6161602700781805,0,roc
10_loan_repay,KNN,8,0.5937063050759275,0,roc
10_loan_repay,KNN,9,0.5622500243878646,0,roc
10_loan_repay,RandomForest,0,0.6452847805788982,0,roc
10_loan_repay,RandomForest,1,0.6568383875289245,0,roc
10_loan_repay,RandomForest,2,0.6234279218933952,0,roc
10_loan_repay,RandomForest,3,0.66493727925953,0,roc
10_loan_repay,RandomForest,4,0.6484878009174684,0,roc
10_loan_repay,RandomForest,5,0.6639085417070493,0,roc
10_loan_repay,RandomForest,6,0.6424412030755312,0,roc
10_loan_repay,RandomForest,7,0.6864460166698972,0,roc
10_loan_repay,RandomForest,8,0.6690932591942249,0,roc
10_loan_repay,RandomForest,9,0.6538467791760153,0,roc
10_loan_repay,SVM,0,0.5366459627329192,0,roc
10_loan_repay,SVM,1,0.5334226444200869,0,roc
10_loan_repay,SVM,2,0.5746194129825843,0,roc
10_loan_repay,SVM,3,0.6003856615109813,0,roc
10_loan_repay,SVM,4,0.6167986034993708,0,roc
10_loan_repay,SVM,5,0.5758060347612586,0,roc
10_loan_repay,SVM,6,0.582089552238806,0,roc
10_loan_repay,SVM,7,0.5875129224009821,0,roc
10_loan_repay,SVM,8,0.5893408773127825,0,roc
10_loan_repay,SVM,9,0.5302003056612363,0,roc
10_loan_repay,MLP,0,0.6305768684285309,0,roc
10_loan_repay,MLP,1,0.610969025291276,0,roc
10_loan_repay,MLP,2,0.6300166443388949,0,roc
10_loan_repay,MLP,3,0.6914870295944465,0,roc
10_loan_repay,MLP,4,0.6405715909552226,0,roc
10_loan_repay,MLP,5,0.6840149899851392,0,roc
10_loan_repay,MLP,6,0.6283840537571881,0,roc
10_loan_repay,MLP,7,0.6838130774697939,0,roc
10_loan_repay,MLP,8,0.6731457093616883,0,roc
10_loan_repay,MLP,9,0.6739342503170422,0,roc
10_loan_repay,XGBoost,0,0.6116023220882555,0,roc
10_loan_repay,XGBoost,1,0.5987009296472212,0,roc
10_loan_repay,XGBoost,2,0.5859619210002842,0,roc
10_loan_repay,XGBoost,3,0.6096293589899728,0,roc
10_loan_repay,XGBoost,4,0.630203385702107,0,roc
10_loan_repay,XGBoost,5,0.6472103766879886,0,roc
10_loan_repay,XGBoost,6,0.5934693416036699,0,roc
10_loan_repay,XGBoost,7,0.6540350197066614,0,roc
10_loan_repay,XGBoost,8,0.645871947452281,0,roc
10_loan_repay,XGBoost,9,0.6086154196338569,0,roc
10_loan_repay,TabPFN,0,0.6669061827629602,0,roc
10_loan_repay,TabPFN,1,0.696788860471725,0,roc
10_loan_repay,TabPFN,2,0.6583647951934397,0,roc
10_loan_repay,TabPFN,3,0.6925709414200463,0,roc
10_loan_repay,TabPFN,4,0.6787114845938376,0,roc
10_loan_repay,TabPFN,5,0.6887235898429929,0,roc
10_loan_repay,TabPFN,6,0.6498635071396265,0,roc
10_loan_repay,TabPFN,7,0.6982982813206693,0,roc
10_loan_repay,TabPFN,8,0.6919365590348909,0,roc
10_loan_repay,TabPFN,9,0.6823155464507528,0,roc
10_loan_repay,LightGBM,0,0.621864977875208,0,roc
10_loan_repay,LightGBM,1,0.649486461251167,0,roc
10_loan_repay,LightGBM,2,0.6183656071124101,0,roc
10_loan_repay,LightGBM,3,0.6724475297365323,0,roc
10_loan_repay,LightGBM,4,0.6583526164088823,0,roc
10_loan_repay,LightGBM,5,0.6692753763649285,0,roc
10_loan_repay,LightGBM,6,0.6431317438780124,0,roc
10_loan_repay,LightGBM,7,0.670470698455773,0,roc
10_loan_repay,LightGBM,8,0.6782427730627907,0,roc
10_loan_repay,LightGBM,9,0.658870679283322,0,roc
10_loan_repay,CatBoost,0,0.6511671335200747,0,roc
10_loan_repay,CatBoost,1,0.6446717817561808,0,roc
10_loan_repay,CatBoost,2,0.6455486542443064,0,roc
10_loan_repay,CatBoost,3,0.6626151910039378,0,roc
10_loan_repay,CatBoost,4,0.677603215199123,0,roc
10_loan_repay,CatBoost,5,0.6859452736318408,0,roc
10_loan_repay,CatBoost,6,0.6362667183562706,0,roc
10_loan_repay,CatBoost,7,0.7147783808231569,0,roc
10_loan_repay,CatBoost,8,0.6815595226481969,0,roc
10_loan_repay,CatBoost,9,0.6693412024843105,0,roc
11_bank_churn,LogReg,0,0.7752303182579565,0,roc
11_bank_churn,LogReg,1,0.7651923834860579,0,roc
11_bank_churn,LogReg,2,0.7627290866095181,0,roc
11_bank_churn,LogReg,3,0.7139311754852695,0,roc
11_bank_churn,LogReg,4,0.7531468617597794,0,roc
11_bank_churn,LogReg,5,0.7272452951029659,0,roc
