House_ID,Total_Area_sq_m,Num_Rooms,Wall_Material_Type,Roof_Type,Window_Count,Window_Size_sq_m,Building_Orientation,Solar_Panel_Area_sq_m,Solar_Exposure_hours_per_day,Solar_Energy_Generated_kWh_per_day,Battery_Storage_Capacity_kWh,Energy_Consumption_kWh_per_day,Usage_of_Energy_Efficient_Appliances_percent,Average_Indoor_Temperature_C,Outdoor_Temperature_C,Ventilation_Efficiency_percent,Airflow_Patterns_m_s,Humidity_Levels_percent,Passive_Heating_Elements,Lighting_Efficiency_percent,Energy_Savings_percent,Thermal_Regulation_Efficiency_percent,Lighting_Optimization_Score,IBS_Algorithm_Score,Comfort_Index,Energy_Efficiency_Score
1,152,6,Concrete,Solar Integrated,4,1.8143352575834566,E,14.82994322974882,6.8287427595997165,15.999211689708632,3.1568662931325067,16.971902148093417,50.082187855622486,18.45579959078834,22.237465926556386,91.2229090328376,1.5191227574157873,51.94537220778334,0,69.3602114864148,13.822977906504047,71.97958294047282,3.85160449285297,4.031133499738961,4.924374246216552,29.484900146576777
2,229,8,Concrete,Flat,2,3.598170359775743,N,10.411125193025404,8.808341842013515,6.638946958377161,14.892048953841874,18.058993162756845,68.8207481260347,19.338658542295022,20.44352704799403,74.46429273701558,2.228418166795857,68.93577165744173,1,63.375517915799485,10.901968861203457,77.13677006854849,7.52583811587888,6.110453000550844,6.608326306023612,27.585376455436283
3,142,9,Concrete,Solar Integrated,7,1.9819866858917474,S,8.075342098951719,7.2430259545343585,11.286022592988106,9.033037686059613,8.0783901956581,78.53807404795367,20.540311951341486,20.39781513711327,76.25674164008551,2.2332522361442066,47.547388115991744,1,70.36861335087946,12.22998393881312,74.3083644732771,2.088997907608598,8.484384667969689,8.564980210761377,29.52161086357886
4,64,8,Brick,Flat,5,6.854604830125442,S,16.849210268894005,5.038009734496253,7.559369119729476,14.802994671572222,24.54063353090352,73.93524289827613,24.956141079380807,8.216671826254624,92.37478177747784,1.8897609608352617,51.630300075494254,0,60.75710562045854,12.096227458447952,65.75911315668974,2.518314785233711,9.392426017999119,7.143803940638183,26.246760458463903
5,156,6,Concrete,Solar Integrated,9,7.886717781002062,S,7.075560395108022,4.449664427235998,8.869817585864777,14.206953487117708,15.895444539655777,93.10380712882986,16.773575887082107,17.70446027747998,75.17133566910178,0.18437678091640342,68.71879187079821,0,61.43571004755729,46.312634311096176,60.61252427983366,3.8421608005742605,7.750831715682751,2.875247101673716,35.48399601436082
6,121,7,Brick,Flat,5,9.331073477926406,N,30.522685096372353,4.066294499638752,14.915863431440703,7.886578284741918,7.713766355845586,55.270264297808346,29.30917818740664,18.571002776197105,61.88899505979019,1.4801690058049959,40.20728915096923,1,96.59431223683038,38.85031631735299,56.72923372814732,6.344863909010753,8.586553511591289,5.155933297566511,37.3608562531248
7,238,6,Concrete,Solar Integrated,6,4.943551117707889,S,17.77228011605841,9.296186487822713,17.751587164321542,4.580383969869539,22.872705066922673,77.69117203168628,27.983568301421467,27.009285210933456,67.057590818814,1.9878003299956155,64.33881010393051,1,74.08066330007513,37.08425464785113,77.75381545089066,6.809603369308293,5.230863626063645,9.193117116777898,38.68059597261802
8,70,8,Concrete,Flat,6,9.112380846295999,N,42.104066363916445,7.970948022586461,3.308412430667543,4.1435020953468,6.492768621588576,75.64896749104537,23.65824109513425,30.200564957620955,98.23612689552729,0.1414913074320717,51.85561868846945,1,76.43236004038722,30.90291281047238,75.8159469724994,4.567205547707274,4.507977876600586,3.940669562296341,33.64057730313394
9,152,4,Brick,Pitched,8,8.901020431371947,E,8.34083928447739,9.561649067150245,13.05814587326023,5.119861730309448,23.154708663550252,64.06964910860815,25.11056801137435,21.349468343000538,62.816214496100564,1.4192430727757879,52.77906058652043,1,60.734866181524175,41.27810467888608,77.49489863031226,1.7005523779946263,4.534376789297953,5.488573285827384,37.47440228039233
10,171,5,Brick,Pitched,9,3.8547614508885872,N,15.185817245366867,7.223042640004601,12.060732343978172,11.231724327338984,24.93131312577965,91.11140562885052,15.24990706866324,7.603488621949714,74.19724803872064,2.158633949886471,43.72695428829134,0,70.82087120687386,16.225919710463632,64.9010981121118,4.362711868834518,6.544346755059614,9.627088011793271,28.651098476056394
